Datum,Mahlzeit,Kalorien,Fett (g),Gesättigte Fettsäuren,Mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Transfettsäuren,Cholesterin,Natrium (mg),Kalium,Kohlenhydrate (g),Ballaststoffe,Zucker,Eiweiß (g),Vitamin A,Vitamin C,Kalzium,Eisen,export_headers.note
2024-01-30,Snacks,1410.8,60.2,17.6,0.0,0.0,0.0,0.0,1759.2,221.0,96.0,2.8,17.8,123.9,0.0,0.0,0.0,0.0,
2024-01-31,Abendessen,603.0,39.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,
2024-01-31,Frühstück,224.0,0.8,0.2,0.0,0.0,0.0,0.0,1400.0,0.0,5.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,
2024-01-31,Snacks,557.0,13.3,8.4,0.0,0.0,0.0,0.0,642.5,429.0,43.5,1.9,25.5,70.1,0.0,15.0,31.6,0.0,
2024-02-01,Frühstück,1000.6,29.1,14.2,0.0,0.0,0.0,0.0,2768.0,208.0,46.5,6.5,24.4,140.3,0.0,0.0,16.6,0.0,
2024-02-01,Snacks,1070.0,39.5,8.7,0.3,0.0,0.0,0.0,7.1,1455.0,95.8,11.2,56.0,95.5,1.8,36.0,6.0,12.0,
2024-02-02,Abendessen,401.8,4.6,0.3,0.0,0.0,0.0,0.0,1.1,10.9,17.3,0.0,17.2,69.1,0.0,0.2,0.1,0.5,
2024-02-02,Frühstück,224.0,0.8,0.2,0.0,0.0,0.0,0.0,1400.0,0.0,5.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,
2024-02-02,Mittagessen,489.0,12.2,8.2,0.0,0.0,0.0,0.0,640.6,208.0,28.6,0.0,14.2,65.2,0.0,0.0,16.6,0.0,
2024-02-03,Frühstück,2516.7,123.4,42.4,2.4,6.1,0.0,59.6,1582.3,1721.0,165.5,11.2,56.2,183.4,531.5,194.9,65.8,16.3,
2024-02-04,Abendessen,604.8,10.4,0.3,0.2,0.0,0.0,0.0,81.0,1450.4,105.6,11.5,55.8,30.5,0.5,7.0,8.8,2.6,
2024-02-04,Frühstück,1083.0,22.9,8.7,0.0,0.0,0.0,0.0,191.8,221.0,107.5,6.0,30.3,119.7,0.0,30.0,30.0,0.0,
2024-02-04,Snacks,186.0,4.2,2.8,0.0,0.0,0.0,0.0,0.6,0.0,21.6,0.0,7.2,15.4,0.0,0.0,0.0,0.0,
2024-02-05,Abendessen,411.0,12.3,5.1,0.0,0.0,0.0,0.0,1.1,221.0,15.4,1.8,10.6,50.5,0.0,0.0,0.0,0.0,
2024-02-05,Frühstück,674.5,13.4,8.3,0.0,0.0,0.0,0.0,641.6,208.0,27.3,0.2,20.7,111.8,0.0,49.0,80.6,0.0,
