Datum,Training,Typ,Kalorien aus Training,Minuten für dieses Training,Serien,Wdh. pro Serie,Kilogramm,Schritte,export_headers.note
2023-07-21,"""Laufen (Joggen), 8 km/h (7,5 Min. pro km)""",Ausdauer,284.0,25,,,,,
2023-07-21,MFP iOS calorie adjustment,Ausdauer,53.0,1,,,,,
2023-07-22,MFP iOS calorie adjustment,Ausdauer,15.0,1,,,,,
2023-07-23,MFP iOS calorie adjustment,Ausdauer,17.0,1,,,,,
2023-07-24,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,66.0,6,,,,,
2023-07-24,Crosstrainer,Ausdauer,48.0,5,,,,,
2023-07-24,Krafttraining (Gewichtheben),Ausdauer,383.0,58,,,,,
2023-07-24,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-07-25,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,268.0,30,,,,,
2023-07-25,"""Stepper-Heimtrainer, allgemein""",Ausdauer,173.0,14,,,,,
2023-07-25,Crosstrainer,Ausdauer,257.0,21,,,,,
2023-07-25,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-07-26,Crosstrainer,Ausdauer,55.0,5,,,,,
2023-07-26,Krafttraining (Gewichtheben),Ausdauer,574.0,84,,,,,
2023-07-26,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-07-27,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,232.0,30,,,,,
2023-07-27,"""Stepper-Heimtrainer, allgemein""",Ausdauer,103.0,10,,,,,
2023-07-27,Crosstrainer,Ausdauer,144.0,14,,,,,
2023-07-27,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-07-28,"""Aerobic, allgemein""",Ausdauer,443.0,61,,,,,
2023-07-28,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-07-29,MFP iOS calorie adjustment,Ausdauer,36.0,1,,,,,
2023-07-30,MFP iOS calorie adjustment,Ausdauer,8.0,1,,,,,
2023-07-31,"""Aerobic, allgemein""",Ausdauer,401.0,77,,,,,
2023-07-31,Crosstrainer,Ausdauer,67.0,8,,,,,
2023-07-31,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-08-01,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,127.0,10,,,,,
2023-08-01,Crosstrainer,Ausdauer,191.0,17,,,,,
2023-08-01,MFP iOS calorie adjustment,Ausdauer,11.0,1,,,,,
2023-08-02,"""Aerobic, allgemein""",Ausdauer,498.0,73,,,,,
2023-08-02,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-08-03,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,843.0,59,,,,,
2023-08-03,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-08-04,"""Aerobic, allgemein""",Ausdauer,596.0,78,,,,,
2023-08-04,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-08-05,MFP iOS calorie adjustment,Ausdauer,22.0,1,,,,,
2023-08-06,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,141.0,13,,,,,
2023-08-06,"""Stepper-Heimtrainer, allgemein""",Ausdauer,108.0,8,,,,,
2023-08-06,Crosstrainer,Ausdauer,155.0,13,,,,,
2023-08-06,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-08-07,"""Aerobic, allgemein""",Ausdauer,419.0,76,,,,,
2023-08-07,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-08-08,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,338.0,30,,,,,
2023-08-08,Crosstrainer,Ausdauer,329.0,30,,,,,
2023-08-08,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-08-09,"""Aerobic, allgemein""",Ausdauer,398.0,64,,,,,
2023-08-09,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-08-10,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,631.0,55,,,,,
2023-08-10,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-08-11,MFP iOS calorie adjustment,Ausdauer,19.0,1,,,,,
2023-08-12,"""Aerobic, allgemein""",Ausdauer,448.0,76,,,,,
2023-08-12,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-08-13,MFP iOS calorie adjustment,Ausdauer,13.0,1,,,,,
2023-08-14,"""Aerobic, allgemein""",Ausdauer,376.0,73,,,,,
2023-08-14,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
